# CRC MEDLANKY DEFAULT (Data loaded from a file)
# 727 data points written for 54 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (22,9 m/s)
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (mm),CG location (mm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (mm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.01,-4.707e-4,-0.094,-9.414,0.094,9.42,-1.644e-5,0,1.644e-5,180.023,0.003,0.329,49.217,16.501,9.809,89.095,0,0,0,1065,375,0.028,8.587e-4,NaN,446,NaN,0.015,2.285e5,0.408,2.693e-7,0.598,5.942e-6,0.341,0.137,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.984e-6,63,30,88.006,0,4.945,13.05,978.1,339.207,0.01,0.001
0.02,-4.418e-4,-0.088,-8.836,0.088,8.841,-1.543e-5,0,1.543e-5,180.023,0.003,0.309,49.217,16.501,9.809,89.038,0,0,0,1065,375,0.028,8.587e-4,NaN,446,NaN,0.015,2.283e5,1.025,3.319e-7,0.598,7.335e-6,0.341,0.137,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.432e-6,63,30,88.006,0,4.941,13.05,978.1,339.207,0.01,0.001
0.03,-4.327e-4,-0.087,-8.654,0.087,8.66,-1.511e-5,0,1.511e-5,180.023,0.003,0.302,49.217,16.501,9.809,88.98,0,0,0,1065,375,0.028,8.587e-4,NaN,446,NaN,0.015,2.282e5,1.218,3.525e-7,0.598,7.801e-6,0.341,0.137,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.259e-6,63,30,88.006,0,4.937,13.05,978.1,339.207,0.01,0.001
0.04,-4.259e-4,-0.085,-8.519,0.085,8.524,-1.487e-5,0,1.487e-5,180.023,0.003,0.297,49.217,16.501,9.809,88.98,0,0,0,1065,375,0.028,8.587e-4,NaN,446,NaN,0.015,2.28e5,1.363,3.681e-7,0.598,8.159e-6,0.341,0.137,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.13e-6,63,30,88.006,0,4.933,13.05,978.1,339.207,0.01,0.002
0.05,-4.212e-4,-0.084,-8.425,0.084,8.43,-1.471e-5,0,1.471e-5,180.023,0.003,0.294,49.217,16.501,9.809,88.98,0,0,0,1065,375,0.028,8.587e-4,NaN,446,NaN,0.015,2.278e5,1.463,3.788e-7,0.599,8.408e-6,0.341,0.137,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.04e-6,63,30,88.006,0,4.929,13.05,978.1,339.207,0.01,0.002
0.06,-4.157e-4,-0.083,-8.314,0.083,8.32,-1.452e-5,0,1.452e-5,180.023,0.003,0.29,49.217,16.501,9.809,88.98,0,0,0,1065,375,0.028,8.587e-4,NaN,446,NaN,0.015,2.288e5,1.581,4.008e-7,0.598,8.825e-6,0.341,0.137,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.935e-6,63,30,88.006,0,4.95,13.05,978.1,339.207,0.01,0.002
0.07,-4.068e-4,-0.081,-8.137,0.081,8.142,-1.421e-5,0,1.421e-5,180.023,0.003,0.284,49.217,16.501,9.809,88.923,0,0,0,1065,375,0.028,8.587e-4,NaN,446,NaN,0.015,2.297e5,1.77,4.331e-7,0.598,9.457e-6,0.34,0.137,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.765e-6,63,30,88.006,0,4.97,13.05,978.1,339.207,0.01,0.002
0.08,-3.95e-4,-0.079,-7.899,0.079,7.904,-1.379e-5,0,1.379e-5,180.023,0.003,0.276,49.217,16.501,9.809,88.923,0,0,0,1065,375,0.028,8.587e-4,NaN,446,NaN,0.015,2.307e5,2.023,4.758e-7,0.598,1.03e-5,0.34,0.138,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.539e-6,63,30,88.006,0,4.991,13.05,978.1,339.207,0.01,0.002
0.09,-3.819e-4,-0.076,-7.637,0.076,7.642,-1.333e-5,0,1.333e-5,180.023,0.003,0.267,49.217,16.501,9.809,88.866,0,0,0,1065,375,0.028,8.586e-4,NaN,446,NaN,0.015,2.316e5,2.302,5.251e-7,0.597,1.128e-5,0.34,0.138,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.288e-6,63,30,88.006,0,5.011,13.05,978.1,339.207,0.01,0.003
0.1,-3.678e-4,-0.074,-7.355,0.074,7.36,-1.284e-5,0,1.284e-5,180.023,0.003,0.257,49.217,16.501,9.809,88.866,0,0,0,1065,375,0.028,8.586e-4,NaN,446,NaN,0.015,2.326e5,2.603,5.808e-7,0.597,1.237e-5,0.339,0.138,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.019e-6,63,30,88.006,0,5.031,13.05,978.1,339.207,0.01,0.003
0.11,-3.479e-4,-0.07,-6.958,0.07,6.962,-1.215e-5,0,1.215e-5,180.023,0.002,0.243,49.217,16.501,9.809,88.808,0,0,0,1065,375,0.028,8.586e-4,NaN,446,NaN,0.015,2.332e5,3.026,6.579e-7,0.597,1.394e-5,0.339,0.138,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.64e-6,63,30,88.006,0,5.045,13.05,978.1,339.207,0.01,0.003
0.12,-3.194e-4,-0.064,-6.388,0.064,6.392,-1.115e-5,0,1.115e-5,180.023,0.002,0.223,49.217,16.501,9.809,88.751,0,0,0,1065,375,0.028,8.586e-4,NaN,446,NaN,0.015,2.338e5,3.633,7.763e-7,0.597,1.636e-5,0.339,0.138,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.096e-6,63,30,88.006,0,5.059,13.05,978.1,339.207,0.01,0.003
